code,name,description,notes,carbohydrate,fat,protein,sugar,fiber,vitamin_d,vitamin_e
APPLE-CIDER-VIN,"Apple Cider Vinegar","Tangy cider vinegar","Gut-friendly",1,0,0,0,0,0,0
BALSAMIC-VINEGA,"Balsamic Vinegar","Aged balsamic","Sweet and complex",17,0,0,15,0,0,0
CHAMPAGNE-VINEG,"Champagne Vinegar","Delicate champagne vinegar","Light and refined",0,0,0,0,0,0,0
FRESH-LEMON-JUI,"Fresh Lemon Juice","Fresh squeezed lemon","Bright and sharp",8,0,0,3,0,0,0
FRESH-LIME-JUIC,"Fresh Lime Juice","Fresh squeezed lime","Tart and floral",9,0,0,2,0,0,0
GRAPEFRUIT-JUIC,"Grapefruit Juice","Ruby red grapefruit","Bitter and bright",9,0,1,7,0,0,0
KIMCHI-LIQUID,"Kimchi Liquid","Spicy fermented liquid","Umami and heat",3,0,1,2,0,0,0
ORANGE-JUICE,"Orange Juice","Fresh orange juice","Sweet and mild acid",10,0,1,8,0,0,0
PICKLE-BRINE,"Pickle Brine","Dill pickle juice","Salty and tangy",1,0,0,1,0,0,0
RED-WINE-VINEGA,"Red Wine Vinegar","Sharp red wine vinegar","Classic for Mediterranean",0,0,0,0,0,0,0
RICE-VINEGAR,"Rice Vinegar","Mild rice vinegar","Asian essential",0,0,0,0,0,0,0
SAUERKRAUT-JUIC,"Sauerkraut Juice","Fermented cabbage juice","Probiotic and sour",2,0,0,1,0,0,0
SHERRY-VINEGAR,"Sherry Vinegar","Nutty sherry vinegar","Spanish-style depth",1,0,0,0,0,0,0
SUMAC,"Sumac","Tart sumac powder","Lemon-like tang",71,9,5,0,11,0,0
TAMARIND-PASTE,"Tamarind Paste","Sour tamarind","Thai-inspired tang",63,1,3,38,5,0,0
WHITE-WINE-VINE,"White Wine Vinegar","Clean white wine vinegar","Lighter than red",0,0,0,0,0,0,0
