name,category,subcategory,description,notes,foundation,mixable,crunch,punch,sweet,savory
Apple Cider Vinegar,Vinegar,Vinegar,Tangy cider vinegar,Gut-friendly,true,false,1,4,2,3
Balsamic Vinegar,Vinegar,Vinegar,Aged balsamic,Sweet and complex,true,false,1,4,4,4
Champagne Vinegar,Vinegar,Vinegar,Delicate champagne vinegar,Light and refined,false,false,1,3,1,2
Fresh Lemon Juice,Vinegar,Citrus,Fresh squeezed lemon,Bright and sharp,true,false,1,5,1,2
Fresh Lime Juice,Vinegar,Citrus,Fresh squeezed lime,Tart and floral,true,false,1,5,1,2
Grapefruit Juice,Vinegar,Citrus,Ruby red grapefruit,Bitter and bright,false,false,1,4,2,1
Kimchi Liquid,Vinegar,Specialty,Spicy fermented liquid,Umami and heat,false,false,1,5,1,5
Orange Juice,Vinegar,Citrus,Fresh orange juice,Sweet and mild acid,false,false,1,3,4,1
Pickle Brine,Vinegar,Specialty,Dill pickle juice,Salty and tangy,false,false,1,4,1,4
Red Wine Vinegar,Vinegar,Vinegar,Sharp red wine vinegar,Classic for Mediterranean,true,false,1,4,1,3
Rice Vinegar,Vinegar,Vinegar,Mild rice vinegar,Asian essential,true,false,1,2,2,2
Sauerkraut Juice,Vinegar,Specialty,Fermented cabbage juice,Probiotic and sour,false,false,1,5,1,4
Sherry Vinegar,Vinegar,Vinegar,Nutty sherry vinegar,Spanish-style depth,false,false,1,4,2,4
Sumac,Vinegar,Specialty,Tart sumac powder,Lemon-like tang,false,false,1,4,1,3
Tamarind Paste,Vinegar,Specialty,Sour tamarind,Thai-inspired tang,false,false,1,4,3,3
White Wine Vinegar,Vinegar,Vinegar,Clean white wine vinegar,Lighter than red,false,false,1,4,1,2
