code,name,description,notes,carbohydrate,fat,protein,sugar,fiber,vitamin_d,vitamin_e
SUNFLOWER-SEEDS,"Sunflower Seeds","Roasted sunflower seeds","Nutty crunch",4,12,5,1,9,0,35
PUMPKIN-SEEDS,"Pumpkin Seeds","Roasted pepitas","Green and crunchy",4,12,5,1,6,0,2
CHIA-SEEDS,"Chia Seeds","Whole chia seeds","Omega-3 boost",4,12,5,1,34,0,1
HEMP-HEARTS,"Hemp Hearts","Hulled hemp seeds","Complete protein",4,12,5,1,4,0,1
FLAX-SEEDS,"Flax Seeds","Ground flaxseed","Fiber rich",4,12,5,1,27,0,0
SESAME-SEEDS,"Sesame Seeds","Toasted sesame","Asian flair",4,12,5,1,12,0,0
CROUTONS,"Croutons","Garlic herb croutons","Classic topper",15,5,3,1,2,0,1
SEASONED-CROUTON,"Seasoned Croutons","Italian croutons","Herbed and crispy",15,5,3,1,2,0,1
GARLIC-CRISPS,"Garlic Crisps","Thin garlic chips","Aromatic crunch",15,5,3,1,2,0,1
WONTON-STRIPS,"Wonton Strips","Crispy wonton strips","Asian-style crunch",15,5,3,1,1,0,1
TORTILLA-STRIPS,"Tortilla Strips","Crispy tortilla strips","Tex-Mex crunch",15,5,3,1,3,0,1
BACON-BITS,"Bacon Bits","Real bacon pieces","Smoky crunch",15,5,3,1,0,0,0
FRIED-ONIONS,"Fried Onions","Crispy fried onions","French onion style",15,5,3,1,3,0,1
CHICKPEA-CRUNCH,"Chickpea Crunch","Roasted chickpeas","Protein crunch",15,5,3,1,8,0,2
QUINOA-PUFFS,"Quinoa Puffs","Puffed quinoa","Light and airy",15,5,3,1,3,0,2
GRANOLA-CLUSTERS,"Granola Clusters","Honey granola","Sweet clusters",15,5,3,1,4,0,2
COCONUT-FLAKES,"Coconut Flakes","Toasted coconut","Sweet and crispy",15,5,3,1,7,0,0
PITA-CHIPS,"Pita Chips","Seasoned pita chips","Mediterranean crunch",15,5,3,1,2,0,1
