code,name,description,notes,carbohydrate,fat,protein,sugar,fiber,vitamin_d,vitamin_e
ROMAINE-LETTUCE,"Romaine Lettuce","Crisp romaine leaves","Classic salad base",2,0,1,1,2,0,0
FRESH-SPINACH,"Fresh Spinach","Baby spinach leaves","Nutrient powerhouse",2,0,1,1,2,0,2
CURLY-KALE,"Curly Kale","Fresh kale leaves","Superfood green",2,0,1,1,2,0,2
FRESH-ARUGULA,"Fresh Arugula","Peppery arugula","Bold flavor profile",2,0,1,1,2,0,0
MIXED-SPRING-GRE,"Mixed Spring Greens","Baby green blend","Tender mixed greens",2,0,1,1,2,0,1
ICEBERG-LETTUCE,"Iceberg Lettuce","Crisp iceberg","Refreshing crunch",2,0,1,1,1,0,0
BUTTER-LETTUCE,"Butter Lettuce","Soft butter lettuce","Delicate leaves",2,0,1,1,1,0,0
CHERRY-TOMATOES,"Cherry Tomatoes","Sweet cherry tomatoes","Bursting with flavor",5,0,1,3,1,0,1
GRAPE-TOMATOES,"Grape Tomatoes","Tiny grape tomatoes","Pop of sweetness",5,0,1,3,1,0,1
ROMA-TOMATOES,"Roma Tomatoes","Diced roma tomatoes","Meaty texture",5,0,1,3,1,0,1
ENGLISH-CUCUMBER,"English Cucumber","Sliced cucumber","Cool and crisp",5,0,1,3,1,0,0
PERSIAN-CUCUMBER,"Persian Cucumber","Mini cucumbers","Seedless variety",5,0,1,3,1,0,0
SHREDDED-CARROTS,"Shredded Carrots","Fresh carrot shreds","Natural sweetness",10,0,1,5,3,0,1
CARROT-COINS,"Carrot Coins","Sliced carrots","Colorful rounds",10,0,1,5,3,0,1
BELL-PEPPER-MIX,"Bell Pepper Mix","Tri-color peppers","Red yellow green",5,0,1,3,2,0,2
RED-BELL-PEPPER,"Red Bell Pepper","Sweet red peppers","Roasted option",5,0,1,3,2,0,2
YELLOW-BELL-PEPP,"Yellow Bell Pepper","Mild yellow peppers","Bright and sweet",5,0,1,3,2,0,1
RED-ONION,"Red Onion","Sliced red onion","Sharp and tangy",9,0,1,4,2,0,0
WHITE-ONION,"White Onion","Diced white onion","Pungent flavor",9,0,1,4,2,0,0
GREEN-ONION,"Green Onion","Sliced scallions","Mild onion flavor",9,0,1,4,3,0,0
BROCCOLI-FLORETS,"Broccoli Florets","Fresh broccoli","Nutrient dense",5,0,2,2,3,0,2
CAULIFLOWER-RICE,"Cauliflower Rice","Riced cauliflower","Low-carb option",5,0,2,2,2,0,0
SHAVED-BRUSSELS,"Shaved Brussels","Thinly sliced sprouts","Crunchy texture",5,0,2,2,4,0,1
RADISH-SLICES,"Radish Slices","Fresh radish rounds","Peppery crunch",10,0,1,5,2,0,0
BEETS,"Beets","Roasted beet cubes","Earthy sweetness",10,0,1,5,3,0,0
SWEET-POTATO,"Sweet Potato","Roasted sweet potato","Caramelized cubes",10,0,1,5,3,0,1
CORN-KERNELS,"Corn Kernels","Fresh corn kernels","Sweet and crunchy",5,0,1,3,2,0,0
EDAMAME,"Edamame","Shelled edamame","Protein boost",5,0,1,3,5,0,0
SUGAR-SNAP-PEAS,"Sugar Snap Peas","Crisp snap peas","Fresh and sweet",5,0,1,3,2,0,0
BABY-CORN,"Baby Corn","Pickled baby corn","Unique texture",5,0,1,3,2,0,0
