salad_name,food_name,grams
Classic Greek Salad,Romaine Lettuce,100
Classic Greek Salad,Cherry Tomatoes,80
Classic Greek Salad,English Cucumber,60
Classic Greek Salad,Red Onion,20
Classic Greek Salad,Feta Cheese,40
Classic Greek Salad,Sliced Almonds,15
Mediterranean Power Bowl,Fresh Spinach,80
Mediterranean Power Bowl,Mixed Spring Greens,50
Mediterranean Power Bowl,Cherry Tomatoes,60
Mediterranean Power Bowl,English Cucumber,40
Mediterranean Power Bowl,Bell Pepper Mix,50
Mediterranean Power Bowl,Fresh Mozzarella,40
Mediterranean Power Bowl,Chopped Walnuts,20
Crunchy Garden Delight,Iceberg Lettuce,80
Crunchy Garden Delight,Romaine Lettuce,60
Crunchy Garden Delight,Shredded Carrots,40
Crunchy Garden Delight,Bell Pepper Mix,50
Crunchy Garden Delight,English Cucumber,50
Crunchy Garden Delight,Cherry Tomatoes,50
Crunchy Garden Delight,Sliced Almonds,20
Protein-Packed Spinach Salad,Fresh Spinach,120
Protein-Packed Spinach Salad,Cherry Tomatoes,60
Protein-Packed Spinach Salad,Shredded Carrots,30
Protein-Packed Spinach Salad,Parmesan,30
Protein-Packed Spinach Salad,Cheddar,30
Protein-Packed Spinach Salad,Sliced Almonds,25
Protein-Packed Spinach Salad,Chopped Walnuts,20
Sweet & Savory Harvest,Mixed Spring Greens,80
Sweet & Savory Harvest,Fresh Arugula,40
Sweet & Savory Harvest,Shredded Carrots,40
Sweet & Savory Harvest,Bell Pepper Mix,50
Sweet & Savory Harvest,Goat Cheese,35
Sweet & Savory Harvest,Sliced Almonds,20
